Full context,1 level,2 level,conn,ton
"Какие-нибудь старые девы, всю жизнь тщетно ожидавшие изнасилования грубым брутальным солдатом с во-о-от таким ружьем, или слюнявые педофилы, боящиеся получить деревянным мечом по яйцам.",2,11,negative,negative
не пререкайся со мной дева без стыда и совести… ибо дойкой ты называешь сасцы что принимала в уста свои… не смей руку кормящую посрамлять!,1,8,neutral,negative
"А вообще 90% неприятноятей при родах происходит от людей, точнее от слишком заботливых ""мамаш"" как правило одиноких старых дев.",2,11,neutral,negative
Продолжение вечера)😋# лухаринапафосе# кипр2017# четжарко🔥🔥🔥 Коты чуют старых дев😂😂😂# ландышсеребристый# сырдорблю🙈😜 Моя недешевая Екатерина Геннадьевна@__ katerina_ katerina_))💎💎💎,2,11,negative,positive
"Не обладающие никакими ценными качествами, кроме (условно и предположительно) здорового генома, ― да и то, среди них имеет место минимум одна старая дева подполтос, а какой с нее геном.",2,11,negative,negative
"Творят черные мессы с принесением в жертву животных, младенцев или юных дев.",2,9,neutral,negative
"По-моему, вполне бы пользовался спросом среди интеллигентных дев, предпочитающих в одежде бохо и минимализм.",1,8,positive,neutral
"Сначала я была слишком быстро растущим ребенком (и слишком много психовала и плакала), потом стала юной девой ― юным девам и положено, ― и слишком много психовала и плакала, потом пошли мужчины, боже, боже, как я психовала из-за мужчин, каких феерических психов я бестрепетной рукой выбирала из всего возможного многообразия, а уж как я плакала!..",2,9,neutral,negative
"Про вторую цитату я уже писала: что я понимаю мечты юных дев любого возраста и пола о любви ― но черт подери, не о дистоническом спазме и не о панической атаке!",2,9,neutral,negative
"Девы, на недельку-другую ноут нужен… Никто на прокат не даст?",1,8,neutral,neutral
"Детей будет 5-6 Девы, выручайте!!! Очень нужен трактор с трактористом.",1,8,neutral,neutral
"девы, подскажите, к какой жк у нас относиться 9января 133\ 17, ю-з район, мож есть кто поблизости… ну очень срочно надо",1,8,neutral,neutral
"девы, подскажите пожалуйста химчистку где ковры моют, предварительно очистив от шерсти животного, и чтоб сами забрали и сами привезли.",1,8,neutral,neutral
"Девы, может есть у кого такой вот блендер филипс на гарантии?",1,8,neutral,neutral
Девы.. уже неделю около холодильника лужа.. открываю морозилку а там льдааааа….. сосульки на дверце….. кто мастера знает по ремонту?,1,8,neutral,negative
девы где чинить кулер для питьевой воды?,1,8,neutral,neutral
девы спокуха мне в офисе починить надоть… а кулер не арендованный,1,8,neutral,neutral
"Девы, посоветуйте где можно обновить старое кресло, обить тканью красиво.",1,8,neutral,neutral
"девы, покупала кровать и комоды в ""икеа"" - красота по соотношению цена-качество… вот такую, только цвет коричневый а вот на такое столик променяла",1,8,neutral,positive
"Перепробовал все свои ножи по три раза и ни один не дал таких ощущений, как ""сисечка йуной девы"".",2,9,neutral,neutral
"Чем молодая жена лучше старой или почему я не осуждаю мужчин, которые уходят к юным девам.",2,9,positive,neutral
Под сладкой сенью тишины Живите скромно: вам пристало Безбрачной девы покрывало.,1,8,negative,negative
"Сластолюбивый Король Одинокого Утеса берет в жены прелестную деву, а она превращается в уродливую старуху.",2,9,positive,negative
"ДЕНЕГ НЕТ, НО ВЫ ДЕРЖИТЕСЬ, Розы, девы красоты, Летним вечером страшитесь В темной рощице воды.",1,8,positive,negative
"Есть сказания о сотворении земли и неба, о мельнице Сампо, дающей богатство, о похождениях героя Лемминкяйнена, воинственного чародея и соблазнителя женщин, о печальной судьбе богатыря Куллерво, о рождении чудесного ребёнка девой Марьяттой…",1,8,neutral,neutral
"АДАМ И ЕВА На иврите песню спел о деве, на латыни стих прочёл в тоске, но в любви Адам признался Еве на табасаранском языке.",1,8,neutral,neutral
"Одна дева меряет жизнь, другая отрезает нить судьбы, третья, старшая, произносит слово судьбы.",1,8,neutral,neutral
"Шерлоки и Ватсоны выяснили, что я одинокая, сумасшедшая старая дева, у меня дома живут 15 кошек и я кормлю всех драных кошек во всех дворах поблизости.",2,11,negative,negative
Она старая дева и вся ее семья состоит из нее и брата – холостяка Саймона.,2,11,neutral,neutral
"Чу, смотри: Алладин произносит ""сезам"" — перед ним золотая груда, Цезарь бродит по спящему форуму, кличет Брута, соловей говорит о любви богдыхану в беседке, в круге лампы дева качает ногой колыбель, нагой папуас отбивает одной ногой на песке буги-вуги.",1,8,neutral,neutral
"Анемоны устилают его поля, маленькие лазоревые рыбки снуют в колоннаде, прекрасные морские девы поют в его залах свои жалобные песни.",1,8,positive,neutral
"Рыбы с широкими плавниками и рыбы с узкими плавниками, множества рыб приходят с просьбами к морскому Богу, и даже красная дева рыба Тай приплывает к нему за советом.",1,8,neutral,neutral
"Многие годы спустя дева ныряльщица «ама» вытащила раковину, разжала ее створки, и весь берег озарился ярким белым светом.",1,8,neutral,neutral
Но не только в ратном деле и подвигах преуспели благородные мужи и девы.,1,8,neutral,positive
Смогут ли достойнейшие и умнейшие мужи и девы помочь в столь благородном деле своему правителю и его рыцарям?,1,8,neutral,neutral
"Бледные и нервные викторианские девы наденут лосины, а неугомонные рейв-старушонки, напротив, обернутся в черное с ног до головы.",1,8,negative,negative
"Начинаются нескончаемые скандалы из-за денег, пизда по прежнему не хочет ничего делать и сидит на диване целый день, изображая измученную после родов деву.",3,13,negative,negative
"И так каждый Божий день ― Больше денег, больше дел, больше дев, больше демонов.",1,8,neutral,negative
"А девы наблюдают оком Йоко Оно, А коконом локонов оплетая, как Лаокоона.",1,8,neutral,neutral
"Короче, я тупопезднейшим образом разностальгировалась: в свое время и мы с [id136773| Лена Вьюгина] были зубодробительно духовно богатыми девами, уж поверьте.",1,8,neutral,positive
"6) [club105007034| Смысл Мыла] Мылиться горами Рериха и охристыми девами Климта, пенить Ван Гога, Мунком охаживать сокровенное – постмодернизм, нонконформизм, эстетство!",1,8,positive,positive
В очереди к кассе передо мной стоит рыжеволосая волоокая дева.,1,8,positive,neutral
"[club11194415|� НИБЕЛУНГИ�] Нибелунгами, в германо-скандинавской мифологии и эпосе, называли владельцев золотого клада (сокровищ и магического кольца силы) карлика-цверга Андвари, который ранее украл золото у Рейнских дев.",1,8,neutral,neutral
"Первые десять песен описывают героические подвиги Зигфрида, его любовь к Брунгильде, женитьбу Зигфрида на Кримхильде, сестре короля Гюнтера (Гуннара), сватовство Гюнтера к деве-воительнице Брунгильде и злодейское убийство Зигфрида.",1,8,neutral,neutral
"Встречаются редкие упоминания о том, что Гамаюн имеет способность к оборотничеству и может превращаться в прекрасную деву.",1,8,positive,neutral
"Жесткие гитарные риффы образуют неделимое целое с академическим звучанием голоса вокалистки, воплощающей на сцене образ Морской Девы.",1,8,neutral,neutral
") – а от последующих инфекций и осложнений…)… Тем временем, семейство окончательно смирилось с причудами старой девы – и давний знакомец, Герберт Сидней, выхлопочет Флоренс должность суперинтенданта в Лондонской клинике.",2,11,negative,neutral
"Прокуратор Таврики, прекрасная дева Поклоника, прозванная Niacius Miacius за свою неземную красоту, вышла на ""Легион бессмертных"", неся в руках не статуэтку с изображением предка, но древний бюст последнего римского царя Тарквиния Бесхребетного!",1,8,positive,positive
"Если они видят в учителе претенциозную старую деву, которая выглядит так, будто сошла с экзамена карикатурного мультика, они не будут уважать такого учителя.",2,11,negative,negative
У меня чешутся руки снимать романтичных дев и счастливые семьи в садах!,1,8,positive,positive
"Я полюбил нагих веков воспоминанья: Феб золотил тогда улыбкой изваянья, Тогда любовники, и дерзки и легки, Вкушали радости без лжи и без тоски, Влюбленные лучи им согревали спины, Вдохнув здоровый дух в искусные машины, И плодоносная Кибела без числа Своим возлюбленным сынам дары несла, Волчица с нежностью заботливо-покорной Пьянила целый мир своею грудью черной, Прекрасный, дерзостный и мощный человек Был признанным царем всего, что создал век, ― Царем невинных дев, рожденных для лобзанья, Плодов нетронутых, не знавших увяданья!..",2,11,positive,positive
") это прекрасная Настя в платье, которое мы чудесным образом взяли с собой и все получилось гармонично:) у меня теперь много кадров, на которых три прекрасные юные девы и я потихоньку им радуюсь) я очень щастлив)",3,12,positive,positive
"Но желанье сгорело в деве дотла, И остался лишь легкий дым.",1,8,neutral,negative
"Третью деву нашел на перепутьи дорог, Висела, горела она.",1,8,neutral,negative
"Дух конформиста, ханжи, нотариуса, страхового агента, фанатика, старой девы или бойскаута.",2,11,negative,negative
"Следите за новостями нашей группы=)�� Цветите, девы, вместе с Природой, встречайте Лето вместе с In Lak'ech!",1,8,positive,positive
"― юной деве, Вместо того, чтоб признаться в первой любви… «Все!",2,9,neutral,negative
"Тихий-тихий голос Морской Девы, почти шепот (пока по секрету, но скоро будет полноценный анонс): 26 мая МореЖдёт сыграет полноценный акустический сет в составе прекрасного сборного концерта за четыре дня до лета.",1,8,neutral,positive
В каюте моряк напевает негромко  О деве с глазами зеленого цвета.,1,8,neutral,neutral
Тогда встали все девы те и поправили светильники свои.,1,8,neutral,neutral
"Когда старая дева выходит замуж, она тут же превращается в молодую жену.",2,9,negative,positive
"Lera Lynn — Resistor (2016) Новый и уже третий по счёту альбом той самой меланхоличной девы с гитарой, которая покорила всех своим саундтреком ко второму сезону «Настоящего Детектива».",1,8,positive,positive
"Сны метели светлозмейной, Песни вьюги легковейной, Очи девы чародейной.",1,8,neutral,positive
"От дев красивых должен отказаться, Что бы чего то там, кому то доказать.",1,8,positive,negative
"Роман представляет собой не столько развивающийся сюжет, сколько яркие зарисовки из жизни Мэри Смит и ее подруг, мисс Мэтти и мисс Деборы, двух старых дев.",2,11,negative,neutral
Голос Морской Девы: Рыцари теплых морей! Капитаны и альбатросы!,1,8,neutral,neutral
"«Я всё умею ― пилить, строгать, колоть. Мужик должен всё это делать. Ой, жалуются некоторые, «Работы нет».",4,4,positive,positive
"Алкоголем, наркотиками. К сожалению, сейчас много таких мужиков…»",1,8,neutral,negative
"Выхожу, а она, защита, то есть, лежит рядом. Мужики какие-то остановились. Я им пожаловалась, а они сказали мне, что эта деталь в машине самая важная, и что без нее ехать крайне опасно.",1,8,neutral,negative
"Промасленный слесарь из автосервиса, выслушав Любашкину слезливую иcторию и вытирая руки не менее промасленной ветошью, поведал подруге, что мужики на дороге абсолютно правы, ибо нет в машине детали более важной, чем ""защита днища"".",1,8,neutral,negative
"Поэтому ― дорогой кадровик, возьму быка за рога - Сделай меня начальником, - будь мужик, ― сделай меня повелителем четверга!",4,4,positive,neutral
"Слёзы умиления, а мужик пошёл вешаться, как с этим счастьем жить то теперь?",1,8,neutral,negative
"Мужик в троллейбусе едет и думает: ""Жена-дура, друзья-подонки, жизнь отвратительна"".",1,8,neutral,negative
"Под видео высказывались точки зрения о том, что у девушки могла быть травма, связанная с мужчинами, и потому вообще не стоит заходить в такие вагоны и о том, что бедный мужик пострадал абсолютно ни за что, нарвавшись на неадекватную особу.",1,8,positive,negative
Всё как бы было просто и понятно ― мужику было интересно клеить самолётики в компашке и заодно научить хитростям этого дела детей.,1,8,neutral,positive
"Во времена нашего детства всё было не так ― во двор к пацанам спускались поговорить дядьки, дворовые команды нанимались тренировать самовыдвинувшиеся тренеры из мужиков, которые зычно орали жене: ""Подожди, не видишь пацанов тренирую! """,1,8,positive,positive
"Типа там бывалый моряк с рассказами, мужик, что учит юнцов фехтовать и прочее, прочее, прочее.",1,8,positive,positive
"Представьте себе картину ― на кухне сидит мужик в трениках и майке, на коленях у него сидит пацан и мужик вдохновлённо что-то рассказывает пацану.",1,8,positive,positive
Приходит мужик в зоомагазин: — Есть у вас что-нибудь чтоб умело разговаривать?,1,8,neutral,neutral
— снова молчит. Мужик в бешенстве: — Обманули! Какая же ты говорящая сороконожка?!,1,8,neutral,negative
"Скандальная и вредная, но всегда попросит прощения если виновата ПОДРУГА – ОВЕН Охуенно подругой её не назовёшь Она как взрывной и неутомимый вулкан Постоянно будет говорите тебе о своих недовольствах ПОДРУГА – ТЕЛЕЦ Очень миролюбивая, спокойная Чаще имеет не то чтобы красивую, но сексуальную внешность Немного наивна Кароче все мужики будут у её ног ПОДРУГА – БЛИЗНЕЦЫ Хитрожопая лиса-это про неё Всегда будет искать только свою выгоду Не стоит слишком доверять такой подруге ПОДРУГА – РАК Бешеная подруга.",1,8,neutral,negative
И на этого ангела напал здоровенный мужик избил его и сломал на каждой руке по пальцу.,4,4,negative,negative
"Обвиняемый ― ""А я вспомнил, что он стрелял в меня с левой руки-левша значит и по другому пальцу тоже ключем ударил. "" Мужика оправдали.",1,8,neutral,positive
Мужика у тебя зарежу Ты останешься вдовой.,3,12,neutral,negative
"Стояли я, мой пес и мужик… со спящим ребенком на руках…",1,8,neutral,neutral
"Трубачи, вы хоть и сидите выше тромбонов, но они, в отличие от вас, – мужики!",4,4,positive,negative
"Потому как даже, если мы потерпим поражение в нашей попытке, мы помрем казаками, плохими или хорошими, но казаками. А вы стреноженными мужиками, пораженцами. В старое время когда брали шашку и карабин и шли в бой, трусом считался тот кто остался дома, а предателем тот кто воевал за врага.",1,8,negative,negative
"Если вы не поняли о чем речь, Cyndassa, то наши самые главные враги это мы сами. Главное вытравить из себя мужика.",4,4,negative,negative
"Да же не мужика (русский мужик, и воевал и пахал и строил не хуже прочих), а аппатичного раба, ждущего от государства подачек и инструкций.",4,4,positive,negative
"Кого собираетесь шашками рубать, если это не просто игра взрослых мужиков в солдатики?",2,10,negative,negative
"Но в этом случае пойдут не только казаки, а все более-менее здоровые мужики.",4,4,positive,neutral
Ну собралось некоторое количество МУЖИКОВ ― именно МУЖИКОВ!!,4,4,positive,neutral
"геи себя тоже пидoрами не называют, но суть не меняется, и как мужики себя не назовут - мужиками они и останутся,",4,4,neutral,neutral
"И еще момент ― казаки ― это казаки, а русские ― мужики, крестьяне и рабы по сути.",5,5,negative,neutral
"Здоровый попался, собака ― за метр девяносто Пришлось работать сразу и опускать по полной ― ойкал мужик потом аки мальчик субтильный.",1,8,negative,neutral
На сцене внезапно появились очень Я Вам скажу причудливо и неординарно одетые Мужики в возрасте от 25 до 60 лет.,1,8,negative,neutral
"ВОН ПО ГОРОДУ МУЖИКИ ХОДЯТ В ОДНИХ ТРУСАХ, А ТЫ ПО ДОМУ ХОДИШЬ В РУБАШКЕ, ПАРИШЬСЯ!",1,8,neutral,negative
"ТЫ ЕЩЁ СЛИШКОМ МАЛЕНЬКИЙ И МНОГОГО НЕ ПОНИМАЕШЬ. ТЫ МУЖИК ИЛИ КТО? ТЫ ОЧЕНЬ КРАСИВЫЙ, НА ТЕБЯ НАВЕРНОЕ ВСЕ ДЕВУШКИ ВЕШАЮТСЯ!",4,4,positive,neutral
ТЫ ТАК И СО СВОИМИ ДЕТЬМИ ОБЩАТЬСЯ БУДЕШЬ? ТЫ ТЕПЕРЬ ЗАМЕСТО МУЖИКА! У ТЕБЯ ВООБЩЕ ЕСТЬ ИНТЕРЕСЫ В ЖИЗНИ?,1,6,negative,negative
И все мужики такие… сидят и ждут свои носки и бритвы,1,8,neutral,negative
При чем здесь все мужики ― мне не ясно,1,8,neutral,neutral
"Вон, у Зинки мужик, полный сарай сена заготовил и дров наколол на зиму!»",3,13,positive,positive
"В это время, Зинка пилила бы своего мужика: «Ну что ты как придурок все дрова колешь?",3,13,neutral,negative
Вон у Светки мужик таблицу какую инновационную изобрел!»,3,13,neutral,positive
"Волосы пышные, улыбка в три два зуба, поджарый, не мужик, а прЫнц, ебаный насрать!",1,8,negative,neutral
"В сухом остатке, ты мужика за четыре года изменила до неузнаваемости!",1,8,neutral,positive
"Излюбленный бабский прием, сделать из себя жертву, если не получилось поставить мужика в позицию.",1,8,neutral,negative
"Доставались же они на стол мужикам ― те, опрокинув по стакану самогонки, тянулись к тарелке и с удовольствием закусывали ее слегка поблекшей арбузной плотью, после чего удовлетворенно крякали: Умеешь же ты, Тоська, арбузы мочить!",1,8,neutral,neutral
"Полезли за ним ― я с удочкой над головой, натягивая леску и мужик с подсаком.",1,8,neutral,neutral
